chain,day,total_value
Gnosis,2022-09-07 00:00:00.000 UTC,14925269913939057919
arbitrum,2022-09-07 00:00:00.000 UTC,300794215445797467218
avalanche_c,2022-09-07 00:00:00.000 UTC,8394969206037451318506
gnosis,2022-09-07 00:00:00.000 UTC,14925269913939057919
Avalanche,2022-09-08 00:00:00.000 UTC,10231629839853650619875
Gnosis,2022-09-08 00:00:00.000 UTC,582113186733802237
avalanche_c,2022-09-08 00:00:00.000 UTC,10231629839853650619875
gnosis,2022-09-08 00:00:00.000 UTC,582113186733802237
Arbitrum,2022-09-09 00:00:00.000 UTC,625321302724814828981
Avalanche,2022-09-09 00:00:00.000 UTC,1408322505735023998881
Gnosis,2022-09-09 00:00:00.000 UTC,13415359679756229492
arbitrum,2022-09-09 00:00:00.000 UTC,625321302724814828981
avalanche_c,2022-09-09 00:00:00.000 UTC,1408322505735023998881
gnosis,2022-09-09 00:00:00.000 UTC,13415359679756229492
Avalanche,2022-09-10 00:00:00.000 UTC,218868149752806918582575
Gnosis,2022-09-10 00:00:00.000 UTC,769621268024412516
avalanche_c,2022-09-10 00:00:00.000 UTC,218868149752806918582575
gnosis,2022-09-10 00:00:00.000 UTC,769621268024412516
Gnosis,2022-09-11 00:00:00.000 UTC,1142209948862668282
gnosis,2022-09-11 00:00:00.000 UTC,1142209948862668282
Avalanche,2022-09-12 00:00:00.000 UTC,71041125084701898568286
Gnosis,2022-09-12 00:00:00.000 UTC,6749823320900429149
avalanche_c,2022-09-12 00:00:00.000 UTC,71041125084701898568286
gnosis,2022-09-12 00:00:00.000 UTC,6749823320900429149
Arbitrum,2022-09-13 00:00:00.000 UTC,908005207358313098291
Gnosis,2022-09-13 00:00:00.000 UTC,11863194173256995865
arbitrum,2022-09-13 00:00:00.000 UTC,908005207358313098291
gnosis,2022-09-13 00:00:00.000 UTC,11863194173256995865
Arbitrum,2022-09-14 00:00:00.000 UTC,0
Gnosis,2022-09-14 00:00:00.000 UTC,1395469838860867117
arbitrum,2022-09-14 00:00:00.000 UTC,0
gnosis,2022-09-14 00:00:00.000 UTC,1395469838860867117
Avalanche,2022-09-15 00:00:00.000 UTC,3920116607084047640978
Gnosis,2022-09-15 00:00:00.000 UTC,2581593167584975101
avalanche_c,2022-09-15 00:00:00.000 UTC,3920116607084047640978
gnosis,2022-09-15 00:00:00.000 UTC,2581593167584975101
Avalanche,2022-09-16 00:00:00.000 UTC,6143606766498197754237
Gnosis,2022-09-16 00:00:00.000 UTC,1074146646870258016
avalanche_c,2022-09-16 00:00:00.000 UTC,6143606766498197754237
gnosis,2022-09-16 00:00:00.000 UTC,1074146646870258016
Avalanche,2022-09-18 00:00:00.000 UTC,3745919916180780568530
Gnosis,2022-09-18 00:00:00.000 UTC,3345193483573366807
avalanche_c,2022-09-18 00:00:00.000 UTC,3745919916180780568530
gnosis,2022-09-18 00:00:00.000 UTC,3345193483573366807
Avalanche,2022-09-19 00:00:00.000 UTC,5456273517075873150310
Gnosis,2022-09-19 00:00:00.000 UTC,9320073185767190845
avalanche_c,2022-09-19 00:00:00.000 UTC,5456273517075873150310
gnosis,2022-09-19 00:00:00.000 UTC,9320073185767190845
Gnosis,2022-09-20 00:00:00.000 UTC,1541452661286267273
gnosis,2022-09-20 00:00:00.000 UTC,1541452661286267273
Arbitrum,2022-09-21 00:00:00.000 UTC,0
Gnosis,2022-09-21 00:00:00.000 UTC,4200743675580820719
arbitrum,2022-09-21 00:00:00.000 UTC,0
gnosis,2022-09-21 00:00:00.000 UTC,4200743675580820719
Gnosis,2022-09-22 00:00:00.000 UTC,1825505478284638914
gnosis,2022-09-22 00:00:00.000 UTC,1825505478284638914
Gnosis,2022-09-23 00:00:00.000 UTC,4237906465751292141
gnosis,2022-09-23 00:00:00.000 UTC,4237906465751292141
Avalanche,2022-09-24 00:00:00.000 UTC,2292205875528170119716
Gnosis,2022-09-24 00:00:00.000 UTC,326404424707827347
avalanche_c,2022-09-24 00:00:00.000 UTC,2292205875528170119716
gnosis,2022-09-24 00:00:00.000 UTC,326404424707827347
Gnosis,2022-09-25 00:00:00.000 UTC,694491017063498093
